ESTÁGIO SUPERVISIONADO EM ARTES PLÁSTICAS 1,157104,4,         Departamento: VIS - Departamento de Artes Visuais         
ESTÁGIO SUPERVISIONADO EM ARTES PLÁSTICAS 2,157112,4,         Departamento: VIS - Departamento de Artes Visuais         
ESTÁGIO SUPERVISIONADO EM ARTES PLÁSTICAS 3,157121,4,         Departamento: VIS - Departamento de Artes Visuais         
FUNDAMENTOS DA EDUCACAO ARTISTICA,156949,4,         Departamento: CEN - Departamento de Artes Cênicas         
FUNDAMENTOS DA LINGUAGEM VISUAL,153699,6,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE 1,153036,4,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE 2,153524,4,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE 3,156299,4,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE 4,156302,4,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE CONTEMPORANEA,157651,4,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE MEDIEVAL,157635,4,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE MODERNA,157643,4,         Departamento: VIS - Departamento de Artes Visuais         
HISTORIA DA ARTE NO BRASIL,157660,4,         Departamento: VIS - Departamento de Artes Visuais         
INTERVENCAO/PERFORMANCE/INSTALACAO,157210,6,         Departamento: VIS - Departamento de Artes Visuais         
INTRODUCAO A GRAVURA,156281,6,         Departamento: VIS - Departamento de Artes Visuais         
"LABORATÓRIO DE CRÍTICA,TEORIA E HISTÓRIA DA ARTE 2",108944,4,         Departamento: VIS - Departamento de Artes Visuais         
"LABORATÓRIO DE TEORIA, CRÍTICA E HISTÓRIA DA ARTE 3",110353,4,         Departamento: VIS - Departamento de Artes Visuais         
"LABORATÓRIO DE TEORIA, CRÍTICA E HISTÓRIA DA ARTE 4",111431,4,         Departamento: VIS - Departamento de Artes Visuais         
MATERIAIS EM ARTE 1,153516,4,         Departamento: VIS - Departamento de Artes Visuais         
OFICINA DE FOTOGRAFIA 1,153338,4,         Departamento: VIS - Departamento de Artes Visuais         
OFICINA DE FOTOGRAFIA 2,153346,4,         Departamento: VIS - Departamento de Artes Visuais         
OFICINA DE FOTOGRAFIA 3,153354,6,         Departamento: VIS - Departamento de Artes Visuais         
PINTURA 1,156272,6,         Departamento: VIS - Departamento de Artes Visuais         
PINTURA 2,157279,6,         Departamento: VIS - Departamento de Artes Visuais         
PROJETO INTERDISCIPLINAR,157091,6,         Departamento: VIS - Departamento de Artes Visuais         
"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 1",157228,4,         Departamento: VIS - Departamento de Artes Visuais         
"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 3",157244,4,         Departamento: VIS - Departamento de Artes Visuais         
TEORIA E HISTÓRIA DA ARTE E DA IMAGEM NO ESPAÇO/TEMPO 4,107328,4,         Departamento: VIS - Departamento de Artes Visuais         
TEORIA E HISTÓRIA DA ARTE E DA IMAGEM NO ESPAÇO/TEMPO 5,111465,4,         Departamento: VIS - Departamento de Artes Visuais         
"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 1",207781,4,         Departamento: VIS - Departamento de Artes Visuais         
"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 2",100846,4,         Departamento: VIS - Departamento de Artes Visuais         
"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 3",103357,4,         Departamento: VIS - Departamento de Artes Visuais         
"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 4",104574,4,         Departamento: VIS - Departamento de Artes Visuais         
"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 5",107301,4,         Departamento: VIS - Departamento de Artes Visuais         
"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 6",108961,4,         Departamento: VIS - Departamento de Artes Visuais         
"TRABALHO DE CONCLUSÃO DE CURSO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE",111449,6,         Departamento: VIS - Departamento de Artes Visuais         
ADMINISTRAÇÃO PUBLICITÁRIA,143499,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
ARGUMENTO E ROTEIRO,143120,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
BRANDING: UMA VISÃO PRÁTICA,119776,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
CINEMA BRASILEIRO,143286,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
COMUNICAÇÃO E GÊNERO,146552,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
COMUNICAÇÃO E SOCIEDADE,145556,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
CRIATIVIDADE EM PUBLICIDADE,143138,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
DIREÇÃO,146641,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
DIREÇÃO DE ARTE EM ARTES GRÁFICAS,146838,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
DIREÇÃO DE ATORES,149985,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
DIREÇÃO EM AUDIOVISUAL 2,204021,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
DOCUMENTÁRIO 1,150037,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
DOCUMENTÁRIO 2,143596,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
EDIÇÃO E MONTAGEM,146676,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
EDIÇÃO E MONTAGEM 2,204030,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
FOTOGRAFIA E ILUMINAÇÃO 1,145319,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
FOTOGRAFIA E ILUMINACAO 2,143758,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
FOTOGRAFIA PUBLICITÁRIA,146803,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
FUNDAMENTOS DE COMUNICAÇÃO VISUAL,146579,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
HISTORIA DO CINEMA,145238,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
INTRODUÇÃO A FOTOGRAFIA,145335,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
INTRODUÇÃO A LINGUAGEM SONORA,146731,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
INTRODUÇÃO A PUBLICIDADE E PROPAGANDA,146528,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
INTRODUCAO AS HISTORIAS EM QUADRINHOS,145165,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
LABORATÓRIO EM PUBLICIDADE E PROPAGANDA,146862,16,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
LEGISLAÇÃO E REGULAMENTAÇÃO DE PUBLICIDADE E PROPAGANDA,203955,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
"LEGISLAÇÃO, DESENVOLVIMENTO E PRODUÇÃO DE PROJETOS",203963,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
LINGUAGENS CINEMATOGRÁFICA E AUDIOVISUAL,146617,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
MARKETING EM PUBLICIDADE E PROPAGANDA,146811,6,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
MÍDIA E GERENCIAMENTO DE CONTAS,203998,4,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
OFICINA BÁSICA DE AUDIOVISUAL,145785,2,         Departamento: DAP - Departamento de Audiovisuais e Publicidade         
